,Human,Drosophila,Arabidopsis,Ecoli,Yeast,PhiX,Adapters_Primers,Viruses,Ribosomal,Ribosomal_LSU,Ribosomal_SSU
10301_55_S50,55 (0.12%),0 (0.00%),8 (0.02%),10626 (23.76%),52 (0.12%),2 (0.00%),0 (0.00%),7 (0.01%),40131 (89.74%),11 (0.02%),44025 (98.44%)
10301_35_S31,31 (0.04%),0 (0.00%),26 (0.03%),18717 (22.11%),18 (0.02%),4 (0.00%),3 (0.00%),16 (0.02%),78927 (93.24%),7 (0.01%),84129 (99.39%)
10301_24_S23,8 (0.01%),0 (0.00%),3 (0.00%),15770 (37.36%),1 (0.00%),4 (0.01%),4 (0.01%),11 (0.03%),40724 (96.47%),0 (0.00%),42031 (99.56%)
10301_25_S24,12 (0.02%),0 (0.00%),1 (0.00%),7573 (14.79%),5 (0.01%),0 (0.00%),1 (0.00%),7 (0.01%),48103 (93.95%),181 (0.35%),50920 (99.45%)
10301_23_S22,7 (0.02%),0 (0.00%),2 (0.00%),13986 (31.91%),4 (0.01%),0 (0.00%),0 (0.00%),5 (0.01%),41469 (94.60%),1 (0.00%),43547 (99.35%)
10301_13_S13,21 (0.04%),0 (0.00%),5 (0.01%),9580 (18.24%),16 (0.03%),2 (0.00%),2 (0.00%),9 (0.01%),48092 (91.58%),18 (0.03%),52042 (99.10%)
10301_15_S15,154 (0.19%),1 (0.00%),22 (0.03%),18109 (22.60%),147 (0.18%),2 (0.00%),2 (0.00%),13 (0.01%),72878 (90.97%),33 (0.04%),79055 (98.69%)
10301_19_S18,24 (0.04%),0 (0.00%),9 (0.02%),8247 (15.33%),20 (0.04%),1 (0.00%),0 (0.00%),6 (0.01%),51403 (95.54%),6 (0.01%),53465 (99.37%)
10301_41_S37,57 (0.11%),1 (0.00%),14 (0.03%),12161 (24.33%),53 (0.11%),1 (0.00%),0 (0.00%),4 (0.01%),46019 (92.07%),14 (0.03%),49526 (99.10%)
10301_4_S4,18 (0.02%),0 (0.00%),17 (0.02%),10602 (12.33%),14 (0.02%),2 (0.00%),0 (0.00%),10 (0.01%),79079 (91.94%),69 (0.08%),85715 (99.67%)
10301_6_S6,10 (0.02%),0 (0.00%),0 (0.00%),6856 (12.89%),2 (0.00%),2 (0.00%),1 (0.00%),10 (0.02%),49725 (93.50%),3 (0.01%),53053 (99.76%)
10301_22_S21,25 (0.04%),0 (0.00%),2 (0.00%),12535 (21.04%),16 (0.03%),0 (0.00%),4 (0.01%),8 (0.01%),54897 (92.17%),24 (0.04%),59160 (99.31%)
10301_43_S39,11 (0.02%),1 (0.00%),4 (0.01%),9520 (16.23%),7 (0.01%),2 (0.00%),1 (0.00%),7 (0.01%),56139 (95.72%),18 (0.03%),57895 (98.71%)
10301_32_S28,54 (0.06%),0 (0.00%),9 (0.01%),12969 (13.59%),40 (0.04%),0 (0.00%),2 (0.00%),13 (0.01%),89723 (94.02%),81 (0.08%),94942 (99.49%)
10301_56_S51,7 (0.01%),0 (0.00%),3 (0.00%),15620 (22.61%),2 (0.00%),1 (0.00%),1 (0.00%),6 (0.01%),64795 (93.77%),96 (0.14%),68771 (99.53%)
10301_28_S26,129 (0.24%),0 (0.00%),33 (0.06%),18300 (33.77%),37 (0.07%),4 (0.01%),3 (0.01%),10 (0.02%),50358 (92.93%),12 (0.02%),52833 (97.49%)
10301_17_S17,26 (0.04%),0 (0.00%),6 (0.01%),6006 (9.92%),20 (0.03%),3 (0.00%),1 (0.00%),9 (0.01%),57715 (95.31%),13 (0.02%),60098 (99.25%)
10301_8_S8,13 (0.02%),0 (0.00%),6 (0.01%),6390 (11.49%),9 (0.02%),1 (0.00%),0 (0.00%),5 (0.01%),51633 (92.82%),32 (0.06%),55406 (99.62%)
10301_11_S11,45 (0.05%),1 (0.00%),6 (0.00%),4281 (4.50%),30 (0.03%),9 (0.01%),2 (0.00%),26 (0.03%),88970 (93.55%),10 (0.01%),93680 (98.51%)
10301_1_S1,21 (0.03%),0 (0.00%),7 (0.01%),6100 (10.05%),15 (0.02%),3 (0.00%),0 (0.00%),11 (0.01%),57938 (95.48%),28 (0.04%),60278 (99.33%)
10301_3_S3,6 (0.02%),0 (0.00%),1 (0.00%),6015 (13.73%),1 (0.00%),3 (0.01%),1 (0.00%),9 (0.02%),41601 (94.95%),7 (0.02%),43476 (99.23%)
10301_48_S43,11 (0.02%),0 (0.00%),10 (0.02%),4203 (7.64%),7 (0.01%),3 (0.01%),0 (0.00%),5 (0.01%),50178 (91.21%),163 (0.29%),54638 (99.32%)
10301_37_S33,114 (0.23%),0 (0.00%),23 (0.04%),11052 (21.62%),106 (0.21%),1 (0.00%),2 (0.00%),9 (0.02%),45697 (89.40%),17 (0.03%),50459 (98.72%)
10301_68_S63,25 (0.05%),0 (0.00%),5 (0.01%),11535 (21.37%),20 (0.04%),2 (0.00%),3 (0.00%),7 (0.01%),50237 (93.09%),5 (0.01%),53671 (99.45%)
10301_57_S52,72 (0.08%),0 (0.00%),78 (0.09%),9534 (11.15%),50 (0.06%),1 (0.00%),4 (0.00%),19 (0.02%),78691 (92.01%),89 (0.10%),84340 (98.61%)
10301_49_S44,22 (0.04%),0 (0.00%),4 (0.01%),2448 (4.72%),15 (0.03%),1 (0.00%),0 (0.00%),9 (0.02%),49373 (95.22%),8 (0.01%),51570 (99.46%)
10301_69_S64,9 (0.01%),0 (0.00%),2 (0.00%),9693 (16.77%),6 (0.01%),4 (0.01%),0 (0.00%),11 (0.02%),53076 (91.80%),1 (0.00%),57481 (99.42%)
10301_21_S20,24 (0.03%),0 (0.00%),3 (0.00%),8898 (9.68%),13 (0.01%),4 (0.00%),0 (0.00%),19 (0.01%),85352 (92.86%),26 (0.03%),91453 (99.49%)
10301_20_S19,73 (0.10%),0 (0.00%),20 (0.03%),12970 (18.11%),67 (0.09%),3 (0.00%),0 (0.00%),10 (0.01%),64438 (89.95%),14 (0.02%),70766 (98.78%)
